Country,Total_re_export
   Austria,869220
   Belgium,4779780
   Belgium/Luxembourg,742860
   Bulgaria,205620
   Croatia,57900
   Cyprus,7980
   Czechia,674640
   Denmark,289800
   Estonia,93240
   Finland,284400
   France,2063880
   Germany,14558880
   Greece,187260
   Hungary,436740
   Ireland,61080
   Italy,3678600
   Latvia,79380
   Lithuania,184500
   Luxembourg,152580
   Malta,1140
   Netherlands,2527200
   Poland,1525740
   Portugal,256740
   Romania,40020
   Slovakia,373020
   Slovenia,94440
   Spain,2277480
   Sweden,652260
Japan,134760
Norway,16260
Russian Federation,609840
Switzerland,1485780
Tunisia,3660
United Kingdom,1734120
United States of America,4526640
