Country,Total_import,Total_re_export,Import_vs_Export
   Austria,2765760,869220,1896540
   Belgium,6240540,4779780,1460760
   Belgium/Luxembourg,1257900,742860,515040
   Bulgaria,830700,205620,625080
   Croatia,622080,57900,564180
   Cyprus,130380,7980,122400
   Czechia,1816020,674640,1141380
   Denmark,1741860,289800,1452060
   Estonia,268980,93240,175740
   Finland,2151840,284400,1867440
   France,11972520,2063880,9908640
   Germany,31481400,14558880,16922520
   Greece,1640040,187260,1452780
   Hungary,1327440,436740,890700
   Ireland,384300,61080,323220
   Italy,13272120,3678600,9593520
   Latvia,261540,79380,182160
   Lithuania,473460,184500,288960
   Luxembourg,415620,152580,263040
   Malta,29700,1140,28560
   Netherlands,5951400,2527200,3424200
   Poland,4815540,1525740,3289800
   Portugal,1568700,256740,1311960
   Romania,1380180,40020,1340160
   Slovakia,821760,373020,448740
   Slovenia,395520,94440,301080
   Spain,7840620,2277480,5563140
   Sweden,3148800,652260,2496540
Japan,12422760,134760,12288000
Norway,1334340,16260,1318080
Russian Federation,5731080,609840,5121240
Switzerland,3212700,1485780,1726920
Tunisia,492540,3660,488880
United Kingdom,6731460,1734120,4997340
United States of America,42507660,4526640,37981020
